Event Name,Event Time,Status,External Url
Storytelling through Visualizations,"Jan 23, 2021 12:30 PM - Jan 23, 2021 02:00 PM",APPROVED,https://excelinexcel.in/eiefreshtalk
Masterclass on 'Techniques to become an Expert in Data Analytics,"Feb 26, 2022 08:30 AM - Feb 26, 2022 10:30 AM",APPROVED,https://bit.ly/34J7Zwj
LECTURE 11 | STRING FUNCTIONS | SQL | SNOWFLAKE | LIVE STREAM |,"Oct 26, 2022 05:35 PM - Oct 26, 2022 06:35 PM",APPROVED,
LECTURE 16 | ROLLUP | CUBES | TOP-N QUERIES | SQL | LIVE CLASS | ,"Nov 02, 2022 04:30 PM - Nov 02, 2022 05:30 PM",APPROVED,
LECTURE 17 | VIEWS | SQL | SNOWFLAKE | LIVE CLASS | 10 PM-11 PM | MON-FRI |,"Nov 03, 2022 04:30 PM - Nov 03, 2022 05:30 PM",APPROVED,
LECTURE 15 | SEQUENCE | DEFAULT | AUTO-INCREMENT | SNOWFLAKE | LIVE | ,"Nov 01, 2022 04:30 PM - Nov 01, 2022 05:30 PM",APPROVED,
How to Setup your Study Abroad Admission Business in 3 Weeks,"Sep 16, 2022 10:30 AM - Sep 16, 2022 12:30 PM",RELINQUISHED,https://event.webinarjam.com/go/live/72/k65o3c96uns2s1
Data Science & Machine Learning LIVE Training,"Jan 02, 2021 06:00 AM - Jan 03, 2021 10:30 AM",APPROVED,https://bit.ly/3gi4oHr
LECTURE 6 | AGGREGATIONS | SQL | LIVE CLASS | MON-FRI | 10PM-11PM |,"Oct 18, 2022 04:30 PM - Oct 18, 2022 05:30 PM",APPROVED,
LECTURE 28 | FACTS & DIMENSION TABLES | SQL | SNOWFLAKE | 10PM | LIVE | ,"Feb 20, 2023 04:30 PM - Feb 20, 2023 05:30 PM",APPROVED,
LECTURE 20 | TIME TRAVEL | SNOWFLAKE | SQL | MON-FRI | LIVE CLASS | 10PM |,"Nov 28, 2022 05:30 PM - Nov 28, 2022 06:30 PM",APPROVED,
LECTURE 7 | CASE STATEMENTS IN SQL | LIVE CLASS | MON-FRI | 10PM-11PM |,"Oct 19, 2022 04:30 PM - Oct 19, 2022 05:30 PM",APPROVED,
LECTURE 24 | JOINS | PART -4 | CASE STUDIES | SQL | 10PM | LIVE | |,"Dec 09, 2022 04:30 PM - Dec 09, 2022 05:30 PM",APPROVED,
