HashTag,CreatedTime,LastModifiedTime,State
datacoach,2021-01-12 05:08:32,2021-01-12 05:08:32,Follow
breakingintodatascience,2021-01-12 05:08:22,2021-01-12 05:08:22,Follow
datawithdanny,2020-09-07 13:51:12,2020-09-07 13:51:12,Follow
buildwithai,2020-07-23 21:22:29,2020-07-23 21:22:29,Follow
technology,2016-01-14 11:33:35,2016-01-14 11:33:35,Follow
innovation,2016-01-14 11:33:35,2016-01-14 11:33:35,Follow
futurism,2016-01-14 11:33:35,2016-01-14 11:33:35,Follow
shipsandshipping,2016-01-14 11:33:26,2016-01-14 11:33:26,Follow
operationsmanagement,2016-01-14 11:33:26,2016-01-14 11:33:26,Follow
warehouses,2016-01-14 11:33:26,2016-01-14 11:33:26,Follow
india,2016-01-14 11:32:58,2016-08-07 19:15:43,Follow
