Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Advance Your Python Skills for Data Science,"Quickly learn the general programming principles and methods for Python, and then begin applying that knowledge to using Python in data science-related development.				 					 					",Learning Path,2021-05-17 11:01 UTC,N/A,false,N/A,
Master Excel for Data Science,"As data strategies become pervasive in all business and institutional sectors, Excel will become even more popular as a bridge tool for non-data scientists doing more work, more often, with data. This learning path is the perfect entry point to the world of data-centric projects and skills.",Learning Path,2023-02-06 04:28 UTC,N/A,false,N/A,
Getting Started with R for Data Science,Learn one of the most used data-science-specific languages: R! This learning path provides a strong foundation of skills and knowledge on which to build your coding resume.,Learning Path,2020-05-18 17:19 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5a147cbe498eaa2ec62c8fc9,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5a147cbe498eaa2ec62c8fc9,Learning Path,2020-05-02 20:28 UTC,N/A,false,N/A,
"Algorithmic Trading and Finance Models with Python, R, and Stata Essential Training","Business intelligence is one of the fastest growing areas of business, especially for financial investing. This project-based course focuses on using different types of software to build models (algorithms) that can trade stocks and other financial products. Michael McDonald shows how you can use Excel, Python, R, or Stata, to set up quantitative, testable investment rules so that you can make informed trading decisions. First, he explains what algo trading is and how it works. Next, he discusses how to develop an algo trading strategy and shares tips for how to identify opportunities in various markets. Then, he goes through an in-depth exploration of how to leverage existing software tools. Michael also covers stock trading, bond trading, data analysis, regressions, and more.<br><br>Note: Prior to watching this course, it is recommended that you watch the course <i>Algorithmic Trading and Stocks Essential Training</i>.",Course,2021-03-22 05:25 UTC,N/A,false,N/A,
Introduction to Data Structures & Algorithms in Java,"Enhance your programming skill set by learning about some of the most commonly-used data structures and algorithms. In this course, instructor Raghavendra Dixit walks through how to use Java to write code to implement data structures and algorithms. After explaining why it's advantageous to study these topics, he goes over the analysis of algorithms and discusses arrays—a data structure found in most programming languages. He also explains how to implement linked lists in Java, and covers stacks, queues, recursion, binary search trees, heaps, and more.<br><br>

Note: This course was created by Packt Publishing. We are pleased to host this training in our library.",Course,2019-02-12 16:16 UTC,N/A,false,N/A,
Data Ingestion with Python,"A sizable portion of a data scientist's day is often spent fetching and cleaning the data they need to train their algorithms. In this course, learn how to use Python tools and techniques to get the relevant, high-quality data you need. Instructor Miki Tebeka covers reading files, including how to work with CSV, XML, and JSON files. He also discusses calling APIs, web scraping (and why it should be a last resort), and validating and cleaning data. Plus, discover how to establish and monitor key performance indicators (KPIs) that help you monitor your data pipeline.",Course,2020-12-29 21:22 UTC,N/A,false,N/A,
GitHub for Data Scientists,"Version control is rapidly becoming an essential skill for data scientists. In this course, learn how to get the most out of GitHub, not just as a code repository, but also as a resource for finding software and connecting with an engaged community. Review foundational GitHub concepts, from how GitHub actually works, to key terminology, to how GitHub facilitates collaboration for  data science projects. Learn how to effectively use repositories in GitHub, including how to create and clone a repository and resolve common merge issues. Plus, learn how to create a strong data science portfolio with GitHub, contribute to open-source repositories, and more.",Course,2021-02-20 04:16 UTC,N/A,false,N/A,
Communicating as a Leader Nano Tips with Jessica Chen,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>
In this course, learn some quick tips on learning how to overcome fear, support your team, navigate difficult conversations, and communicate up, down, and across all levels. Also, learn how to stay visible when working remotely and how to handle tricky conversations.",Course,2022-12-13 13:39 UTC,N/A,false,N/A,
Advanced SQL for Data Scientists,"Many data scientists know how to work with SQL—the industry-standard language for data analysis. But as data sizes grow, you need to know how to do more than simply read and write from a database. This course provides a more sophisticated approach to designing data models and optimizing queries in SQL. Instructor Dan Sullivan begins with the logical and physical design of tables—with particular focus on very large databases—and then presents a deep dive review of indexes, including specialized indexes and when to use them. The next section introduces query optimization and shows how to optimize basic, multi-join, and more complex queries. The course also covers SQL extensions, including user-defined functions and specialized data types. The techniques taught here enable more efficient analysis of large data sets using SQL, statistics, and custom business logic.",Course,2022-05-07 07:31 UTC,N/A,true,N/A,
How to Make Strategic Thinking a Habit,"<div><a href=""https://www.linkedin.com/newsletters/6640647216497209344?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Dorie's LinkedIn Newsletter</a></div><br>Working hard is important—but what's really critical is making sure you're working on the right things. That's what strategic thinking enables you to do. In this course, Dorie Clark shares frameworks and strategies to help you make strategic thinking a daily habit, so that you can make the best use of your time, energy, and effort at work. Discover how to set yourself up for success by carving out time for strategic thinking and adjusting your routine to spark more strategic thoughts. Get tactics for thinking strategically about the tasks and decisions that lie ahead of you, as well as how to revisit past decisions to glean valuable insights. Learn how to change the way you approach your to-do list and examine the root cause of problems to devise better solutions. Plus, Dorie explains how to consistently ask yourself the right questions, so that you don't get off track.",Course,2020-12-15 12:49 UTC,N/A,false,N/A,
Advanced Pandas,"If you've worked in Python, you're likely familiar with the basic of pandas. In this advanced course, instructor Brett Vanderblock shares how you can take advantage of the advanced functions of pandas—such as working with dates, dealing with missing data, merging DataFrames, and more—to work more effectively with your data. First, Brett introduces you to DataFrames, identifies the top functions in pandas, and shows you how to configure your pandas workspace efficiently. He walks you through converting data types, working with strings, and using the apply map and applymap functions effectively. He shows you how to combine Groupby and multiple aggregate functions in pandas and how to use the merge, join, and concat functions. Brett steps through plotting and statistical functions with pandas. He concludes by explaining how you can use pandas-profiling and Geopandas to get the most out of your functions and data.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""20%"" width=""20%"">",Course,2021-02-24 14:04 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2020-10-02 06:39 UTC,N/A,false,N/A,
Learning SAP MM (Materials Management) (2019),"To consistently deliver completed products on time, an organization needs an effective system for managing products, inventory, and purchased materials. SAP Material Management (MM), a key module in the SAP ERP suite, tracks all aspects of material management—from purchase through sale—for enterprise organizations. In this course, learn how to get up and running with SAP Material Management (MM). To begin, instructor Justin Valley provides a high-level look at the materials management process in SAP MM, as well as how it integrates with other SAP modules. Next, Justin shows how to create material master records and approach the purchasing, inventory management, and physical inventory processes (and run related reports).",Course,2020-10-12 05:18 UTC,N/A,false,N/A,
Social Media Marketing Trends,"Social media is always evolving, requiring companies adapt their marketing strategies to more effectively reach audiences. Learn which social media marketing trends matter now and find out how to use them to drive engagement and sales at your business. This series highlights the top trends to consider adopting, including the next evolution of influencer marketing, dynamic ads, social shopping, and how brands should advocate on relevant social causes. Social media marketing expert Brian Honigman also explores augmented reality features on social media and trends on video platforms such as YouTube and TikTok. Each tip helps you understand the most recent developments in social media and get more meaningful results from your marketing efforts.<br><br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2021-01-13 13:50 UTC,N/A,false,N/A,
HTML5: File API,"Join author Joe Marini as he demonstrates how to use the HTML5 File API to perform file-related operations from within a web page, including manipulating files, reading and accessing data within files, and retrieving information about files. The course also covers how to complete tasks that were previously only possible with native code, such as picture processing, file conversion, and content checking.",Course,2019-02-22 18:52 UTC,N/A,false,N/A,
Microsoft SQL Server 2019 Essential Training,"Master the fundamentals of SQL Server 2019, the industry-leading database management platform from Microsoft. In this course, instructor Adam Wilbert equips beginners with the core skills they need to create and manage SQL Server databases. Adam begins with the basics, showing how to install SQL Server and log into a local database server. He then discusses how to create new databases, design tables, define relationships, write queries, and use stored procedures and built-in functions. Plus, he demonstrates how to perform crucial database administration tasks, such as backups and restores, security enhancements, and performance monitoring.",Course,2021-05-08 04:19 UTC,N/A,false,N/A,
Learning Cloud Computing: Core Concepts (2019),"Migrating to the cloud? Get an overview of cloud computing and the key concepts that you should consider when making a move to the cloud. There are three types of cloud solutions: software as a service, infrastructure as a service, and platform as a service. Instructor David Linthicum helps you evaluate these solutions, including Amazon Web Services, Google Cloud Platform, Salesforce.com, and Office 365, as well as the data and applications that are best suited to the cloud. David explains how to select a cloud provider and plan a migration. He also reviews the security considerations and typical day-to-day operations and tools IT administrators need to keep their cloud-based infrastructure up and running.",Course,2021-04-08 13:24 UTC,N/A,false,N/A,
Raspberry Pi: GPIO (2016),"The Raspberry Pi talks to the outside world through the general-purpose input/output device, also known as the GPIO. This course describes these pins and explains how to use the GPIO to control lights and motors, read data from sensors, and interact with the Internet of Things. It combines some hardware basics—identifying pins and working with breadboards and components—with some programming in Python and Scratch. Author Mark Niemann-Ross also shows how to go deep into WiringPi, a GPIO access library, to experiment with pulse width modulation. By learning how to control input and output through GPIO pins, you'll open up a whole new world of electronics.",Course,2020-04-11 06:53 UTC,N/A,false,N/A,
Excel Statistics Essential Training: 1,"Data isn’t valuable until you put it to good use. Statistics transforms data into meaningful information, enabling organizations to make better decisions and predictions. That’s why statistics—collecting, analyzing, and presenting data—is a valuable skill for anyone in business or academia. In this course, Joseph Schmuller teaches the fundamentals of descriptive and inferential statistics and shows you how to apply them in Microsoft Excel—an inexpensive and accessible application that offers an array of powerful statistical tools. Using the built-in functions, and charts, along with the Analysis Toolpak add-on, Joe explains how to organize and present data, understand sampling distributions, test hypotheses, and draw conclusions. He covers probabilities, averages, variability, distribution, estimation, variance, regression testing, and more. By the end of the course, you should be able to fully understand and apply basic statistical concepts to a wide variety of data.",Course,2020-05-06 11:25 UTC,N/A,false,N/A,
Power BI Essential Training (2020),"Discover how to quickly glean insights from your data using Power BI. This formidable set of business analytics tools—which includes the Power BI service, Power BI Desktop, and Power BI Mobile—can help you more effectively create and share impactful visualizations with others in your organization. In this course, Gini von Courter helps you get started with this powerful toolset. Gini begins by covering the web-based Power BI service, explaining how to import data, create visualizations, and arrange those visualizations into reports. She discusses how to pin visualizations to dashboards for sharing, as well as how to ask questions about your data with Power BI Q&A. She also provides coverage of Power BI Mobile and shows how to use the data modeling capabilities in Power BI Desktop.",Course,2021-01-08 16:57 UTC,N/A,false,N/A,
Excel Data Visualization: Mastering 20+ Charts and Graphs,"When you think data visualization, you might not think Microsoft Excel. But Excel offers a large number of charts and graphing tools that complement its data analysis toolset. This course offers a laser-focused, practical guide to over 20 useful Excel charts and graphs for data visualization. Instructor Chris Dutton reviews the key principles of data visualization, and provides some introductory tips to help you customize any kind of chart in Excel. In this section, you can learn how to adjust text and cell formatting, change the chart type and axes, and leverage built-in templates. In chapter three, Chris reviews the different chart types: from basic bar and pie charts, to scatter plots, histograms, funnel charts, and sparklines. Plus, learn how to create geospatial heat maps and 3D power maps, and combine different chart types on one sheet.",Course,2021-03-21 03:53 UTC,N/A,false,N/A,
Advanced C Programming,"Once you've mastered the basics of programming in C, you can concentrate on writing more efficient, more functional code. In this course, Dan Gookin offers some tips to help you extend your C programming skills. Learn how to read and write main function arguments, build more useful variables, and work with arrays and structures. Plus, get tips on generating pointers, and take the practice challenges to test your learning along the way.",Course,2019-02-21 17:59 UTC,N/A,false,N/A,
Nail Your C++ Interview,"Applying for C++ programming jobs? Find out what questions to expect in your developer interview and how to answer them to demonstrate mastery of key concepts. Erin Colvin explores the kinds of questions you can anticipate in a typical interview, including topics such as the advantages of object-oriented programming and a review of the inner workings of several core data types. Dive into the nuances of how char values are stored in strings, learn how to find elements in an array, and discover how to use abstract data types such as linked lists, stacks, and queues to solve challenges. Plus, learn how to spot and explain the differences between C and C++ and answer technical questions related to classes. Along the way, Erin offers candid career advice based on her years of experience working as a developer, certified ethical hacker, and computer science instructor.",Course,2019-02-12 14:09 UTC,N/A,false,N/A,
