Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2023-04-14 06:20:04,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7052525901997109249,"It gives me immense pleasure 😇 and proud ✌️in sharing this amazing career 👩‍💻transition 🏃‍♀️by one of my student into the 💽👩‍💻📊📈💹📉🌎""
"".""
"".""
""Congrats 🎉 🥳👏🎊Archana Badrinarayana ""
"".""
"".""
""Reach out to me if you would like to make a transition into the Data 💽 Analytics 📊 ""
"".""
"".""
""#transformation #transition #dataandanalytics  #dataanalytics #dataanalyst #sql #python #powerbi #offeringhelp #jobready #industryready #learninganddevelopment #keeplearning #keepgoingforward #ineuron",,,MEMBER_NETWORK
2023-03-29 06:28:13,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7046729747405410304,"Data 💽 Analyst 📊👨‍💻👩‍💻Vs Data 💽 Scientist 👩‍🔬 🧑‍🔬 Which One to Choose🤔🧐""
"".""
"".""
""Listen 🎧 to this podcast by me 🕺 from Simplilearn in partnership with Spotify  and choose the right ✅ career 👨‍💼👩‍💼path 🛣️👍🙂""
"".""
"".""
""https://lnkd.in/gNshPH_9",,,MEMBER_NETWORK
2023-03-22 08:29:30,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7044223551335186432,"📣 Hello 👋🙋‍♂️ to all the aspiring Data 💽Analysts 📊👨‍💻👩‍💻""
"".""
"".""
"".""
""We all know that SQL💽 is the Oxygen 💨, Heart ❤️ Brain 🧠 or whatever you can say and if you want to MASTER it using relevant BUSINESS CASE STUDIES that too LIVE 🖖 📽️ from Simplilearn  come fall in love 😻 with  LEARNING👨‍💻👩‍💻 and ace all the SQL💽👨‍🏫👩‍🏫 like a CAKE 🍰 WALK🤓🤩""
"".""
"".""
""CLICK👇 Below Link & JOIN 🤝 and be Ready 🕺with Industry 🏢Specific Skills🤸‍♂️""
"".""
"".""
""https://lnkd.in/dNywYYvB""
"".""
"".""
""#simplilearn #sql #dataandanalytics  #dataanalysis #dataanalyst #dataanalytics #data #jobready #industryready #learning #learningandgrowing #learninganddevelopment",,,MEMBER_NETWORK
2023-03-17 05:00:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7042359055440351232,"CEO 👨‍💼 ANNUAL 🗓️ REVIEW 📈 2️⃣0️⃣2️⃣3️⃣ Unilever ""
"".""
"".""
""Cheers 🥂 to the entire TEAM👨‍💼👨‍💻👩‍💻💽📊💹""
"".""
"".""
""#outperform #annualreview #ceo #team #unilever #hindustanunileverlimited",,,MEMBER_NETWORK
2023-03-16 08:10:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7042044341707558912,"Thanks Karan Shah for the appreciation🤗""
""I am really happy 😊 that you 👨‍💻have chosen the right path in order to teach the masses and helps folks who wants to establish their career as a DASHBOARD DEVELOPER in the field of ANALYTICS 💽📊📈📉in order to show them the right path by showcasing your knowledge 💪and skills 🤸‍♂️ you have acquired through my POWER BI 📊lecture 👨‍🏫 iNeuron.ai  ""
"".""
"".""
"".""
""#appreciation #appreciationpost #appreciationday #dataandanalytics #dataanalytics #dataanalysis #powerbi #dashboarddesign #dashboarding #skillsdevelopment #skillsforthefuture #hardworkpaysoff  #hardwork  #beready #futureready #teachingcareer #ineuron",,,MEMBER_NETWORK
2023-02-20 20:12:30,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7033528831806230528,"Feels great to see such post that Data 💽 Analytics 📊 course from iNeuron.ai is really helping folks to get multiple offers 👨‍💻☺️""
"".""
"".""
""Feels great to be a part of iNeuron.ai""
"".""
"".""
""https://lnkd.in/gUuZ64rz""
""""
""#ineuron #dataandanalytics #dataanalytics #helpingpeople #learnandgrow",,,MEMBER_NETWORK
2023-02-02 20:13:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7027006211770257408,"Hiring 👀Alerts 🚨 ""
"".""
"".""
""Looking 👀Urgently for a 3-5 Years SQL💽 + PYTHON 🐍experience 🧑‍💻👩‍💻for a Senior Data 💽Analyst 📈Role for one of the top ANALYTICS 📊company ""
"".""
"".""
""Interested folks can drop 📧your resume 📃""
"".""
"".""
""Note : Strictly between 3-5 Years Experienced Required.Kindly don’t ping me unnecessary if one doesn’t call in the range""
"".""
"".""
""#hiring  #hiringnow #hiringalert #hiringalerts #dataanalyst #dataanalystjobs #sql #python #powerbi",,,MEMBER_NETWORK
2023-01-21 13:15:18,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7022552205408817152,"This is truly Incredible...""
"".""
"".""
"".""
""https://lnkd.in/gB7NpeN7",,,MEMBER_NETWORK
2023-01-18 12:42:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7021456876156456960,"Looking for a 3+ mandatory experienced folks in POWER BI/TABLEAU for one of the Big Data Analytics firms.""
"".""
"".""
""Interested one can DM me directly with your resume.""
"".""
"".""
""DISCLAIMER: Strictly 3+ Experienced Folks ""
""Below that, Kindy don't flood my INBOX. ""
"".""
"".""
""#hiringpost #hiringalert #hiringalerts #hiring #hiringnow #dataandanalytics #dataanalysis #powerbi #powerbideveloper #tableau #tableaudeveloper #grabtheopportunity ",,,MEMBER_NETWORK
2022-12-01 10:59:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7004036197400395777,"https://lnkd.in/gnzGXwMb""
"".""
"".""
""#hiring #hiringalert #hiringalerts #internship #internshipopportunity #interns #dataandanalytics #dataanalytics #dataanalysis #sql #python #powerbi #tableau #excel #aws #azure #cloudcomputing #helpinghands ",,,MEMBER_NETWORK
2022-11-14 18:27:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6997988471415996416,"Get Well ❤️‍🩹 Soon sudhanshu kumar Sir""
"".""
"".""
""Expecting 🤞a Speedy 💨 Recovery ❤️‍🩹 to rock the DATA 💽 SCIENCE🧪 WORLD🌎 ""
"".""
"".""
""#ineuron #getwellsoon",,,MEMBER_NETWORK
2022-11-14 13:02:10,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6997906522743717888,"These days I see people 👨‍💻👩‍💻are willing to help to all those who wants to do a transition into Data💽 Science 🤖/ Data 💽Analyst 📊and through TOPMATE they are asking for 1-1 DISCUSSION with hefty amount 💰""
"".""
"".""
"".""
""Stop 🛑 Asking For Money …and HELP🤝 Genuinely 😊""
"".""
"".""
""I am here to HELP🤝 you all in this journey to a successful transition into 💽🧪📊""
"".""
"".""
""Telegram Link : https://lnkd.in/g_HZBd99""
"".""
"".""
""Reach out to me 📲for your RESUME📑REVIEW , 1-1 👫COUNSELLING , CAREER GUIDANCE 👨‍🦯 and anything where’re I 🕺can help you in making this journey 🛫FRUITFUL✌️absolutely 🆓🆓🆓🆓🆓""
"".""
"".""
""Feel free to follow 🕺 me on ANALYTICSWITHANAND for all DATA💽 RELATED📊 updates… ""
""""
""and stay updated with my ""
""YOUTUBE CHANNEL ""
""https://lnkd.in/e5F747cj ""
"".""
"".""
""and let me help you in making this 💽📊 journey better 🤞""
"".""
"".""
""#datascience #dataandanalytics #helpinghands #helpeachother #helpingpeople #helpingothers #guidance #mentorship #oneononecoaching #transition #career #careeradvice",,,MEMBER_NETWORK
2022-11-05 18:53:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6994733329749073920,"Big 🗣Annoucement 📣coming up HERE✌️""
"".""
"".""
""Never expected I would do so well 👏in my 1️⃣st SEMESTER🎓EXAM🙇‍♂️ of M.Tech in DATA💽SCIENCE 👨‍🔬& ENGINEERING 📊📉👨‍💻by securing 8️⃣.8️⃣8️⃣ CGPA from BITS Pilani Work Integrated Learning Programmes ""
"".""
"".""
""Hard Work💪Pays Off✌️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️""
"".""
"".""
""#datascience #mtech #bitspilani #bits #wilp #masters #firstsem",,,MEMBER_NETWORK
2022-11-01 16:00:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6993240364023246848,"“Your true success in life begins only when you make the commitment to become excellent at what you do.” —Brian Tracy""
"".""
"".""
"".""
"".""
""#newpost #newjob #newbeginning #newbeginnings2022 #unilever #unilever #success #successstory #unilever #dataandanalytics #dataanalytics #data #dataanalyst #dataquality #dataqualitymanagement #datascience #datanalytics #datanalyst #datanalysis #jobready #jobsearch #jobseekers #job #learnandgrow #learningeveryday #learninganddevelopment ",,,MEMBER_NETWORK
2022-10-31 10:20:36,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6992792433440776192,"✅ PATIENCE ⏳""
""✅ COMMITMENT 🏃‍♂️""
""✅ HONESTY 🤗""
""✅ CONFIDENCE ☺️""
""✅ FAITH 🤞""
""✅ DEDICATION💪""
"".""
"".""
"".""
""If you FOLLOW 🕺ALL the ABOVE 👆 NOTHING CAN STOP 🛑 YOU 💪🏃‍♂️SUCCESS 🎉👏🙌WILL BE YOURS 👍""
"".""
"".""
""It gives me na immense pleasure 🥳 to announce 📣 and share this wonderful opportunity am starting today with Unilever ""
""as Assistant Manager under Data 💽 & Analytics 📊 Team at Unilever!""
"".""
"".""
""1st🥇 of all , I want to thank 🙏 me 🕺 for believing in me , for trusting me , for believing in the process and for keeping that infinite level of patience in me👨‍🏫""
"".""
"".""
"" And 🥈ndly especially to the whole community of students from iNeuron.ai  Data 📀 Analytics 📊 Batch provided by sudhanshu kumar  where mentoring and teaching candidates from across the WORLD 🌍  while teaching 👨‍🏫 help me in mastering SKILLS needed to be successful in the ANALYTICS 📊 WORLD 🌍 without whom this would not have been possible...""
"".""
"".""
""Thanks 🙏 to the entire Unilever team and especially to Edwina D'Souza, MBA for smooth ONBOARDING🛫PROCESS🥳""
"".""
"".""
"".""
""#newpost #newjob #success #successstory #unilever #dataandanalytics #dataanalytics #data #dataanalyst #dataquality #dataqualitymanagement",,,MEMBER_NETWORK
2022-10-27 10:29:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6991345072474648576,"To all the aspiring 🕺 DATA💽ANALYST📊grab this new course 🚀 FULL STACK DATA ANALYST 2.0 from iNeuron.ai where and transform your  journey towards a successful ✅transition into the ANALYTICS💽📈📊world 🌍""
"".""
"".""
""Check out the below 👇 link 🔗for more details and grab an early ""
""Bird 🦅 Discount🤑""
"".""
"".""
""LINK : https://lnkd.in/gRNMZqkF""
"".""
"".""
"".""
""#dataandanalytics #dataanlytics #dataanalytics #dataanalyst #data #analytics  #ineuron #sql #powerbi #tableau #snowflake #snowflakedatacloud #rprogramming #excel #statistics #python #jobready #industryready #upskilling #upskill #upskillyourself #learnandgrow #learningneverstops",,,MEMBER_NETWORK
2022-10-22 13:03:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6989571944442433537,💥🤗🎉🥳🙏👨‍👨‍👧‍👦📊📀🚀📢📢📢📢📢📢📢📢📢📢📢📢📢📢📢📢📢📢📢,,,MEMBER_NETWORK
