Date,Link,OptionText
2023-04-12 13:35:16,https://www.linkedin.com/feed/update/urn:li:ugcPost:7051775240510574592,10-20 lakhs
2023-03-15 08:14:39,https://www.linkedin.com/feed/update/urn:li:ugcPost:7041625615036293120,Java
2023-02-22 20:42:09,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-7034035669194743808,Minimize
2023-02-21 20:51:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7033870909400633344,Yes ✅ 
2023-02-15 11:58:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:7031573601036247040,Lead a team
2023-02-07 05:39:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:7028344569217884160,Yes
2023-02-07 05:39:18,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-7028462397623336960,Take log of skewed variable
2023-01-23 20:38:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:7023176939054014464,Skills you’ve acquired
2023-01-01 02:26:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:7013614538847621120,Python
2022-12-29 16:12:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:7014152449028497408,Technical Skills
2022-12-26 23:05:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:7011563662398169088,Can’t wait to hit refresh
2022-12-26 23:03:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:7013026182174543872,LinkedIn / Social Media 👍🏻
2022-12-08 22:04:16,https://www.linkedin.com/feed/update/urn:li:ugcPost:7005865190265118722,Power BI
2022-11-23 02:52:15,https://www.linkedin.com/feed/update/urn:li:ugcPost:7000727173040943105,"2 days WFH, 3 days WFO"
2022-11-15 09:43:30,https://www.linkedin.com/feed/update/urn:li:ugcPost:6998213723765014528,Extremely satisfied
2022-11-15 09:43:16,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6998004292913647616,Yes
2022-11-02 19:11:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6993640277701799938,1
2022-10-27 20:52:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6991434274927251456,Crackers+ Sweets
2022-10-22 12:49:54,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6989498959169753088,Response variable
2022-10-18 21:45:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:6987429253696872448,Yes
2022-10-18 21:39:05,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6988148727098064898,Data mining
2022-10-12 20:37:01,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6986028930050715649,All of the above 
2022-10-09 13:09:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:6984859640593354752,more than 5L
2022-09-29 11:50:17,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6980906330001743872,All of the above 
2022-09-28 16:38:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6980522670241038336,Father 
2022-09-28 10:55:50,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6980700025936883712,All of the above.
2022-09-26 11:36:06,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6980003139655532544,Euclidean Distance 
2022-09-21 18:36:43,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6978310097823252480,"Yes, its excellent!"
2022-09-21 08:27:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:6978104302003269632,Dating App - Max 5 Matches 
2022-09-19 19:53:13,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6977569980389183488,3D
